"companyId","companyName","legalName","domain","website","city","country","category","status","qualityScore","hasPhone","hasEmail","needsPhone","needsEmail","enrichAction","primaryPhone","allPhones","primaryEmail","allEmails","contactsCount","createdAt"
"260406fc-0631-452c-baa1-2eba5d58c503","R-IoT Electrix GmbH","R-IoT Electrix GmbH","riot-electrix.com","https://www.riot-electrix.com/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 89 41325490","+49 89 41325490","","","1","2026-04-22T09:33:00.071705+00:00"
"58a1fc28-b617-4591-9932-0bdf16d7d3f8","RSD Elektro GmbH","RSD Elektro GmbH","rsdelektro.de","https://rsdelektro.de/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 89 55269290","+49 89 55269290 | +498955269288","","","2","2026-04-22T09:32:57.957274+00:00"
"329fade8-5b27-4e4e-b8bd-b0ec4988cc46","Elektriker München 24/7 - BS 24 Service","Elektriker München 24/7 - BS 24 Service","elektrikermunchen.de","https://elektrikermunchen.de/","München","DE","Elektroinstallationsdienst","enrich","5","yes","no","no","yes","findEmail","+49 89 20190383","+49 89 20190383","","","1","2026-04-22T09:32:55.808741+00:00"
"9a5ad31f-f570-4233-b3fb-7b29f7a1bb96","Elektriker und Innenausbaubetrieb München BG Power GbR","Elektriker und Innenausbaubetrieb München BG Power GbR","xn--elektrikermnchen-tzb.bayern","https://xn--elektrikermnchen-tzb.bayern/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 1577 4310459","+49 1577 4310459 | 01234567890 | 015774310459","","","3","2026-04-22T09:32:54.761334+00:00"
"81f2eef7-2950-455b-bc26-e8a6f7800d48","AC-Elektro UG","AC-Elektro UG","ac-elektro-ug.de","http://ac-elektro-ug.de/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 15560 904447","+49 15560 904447","","","1","2026-04-22T09:32:52.469989+00:00"
"406adb58-7ceb-4aae-b3d5-ceab37796a1a","Ralf Weber Elektroinstallation GmbH","Ralf Weber Elektroinstallation GmbH","elektrotechnik-weber.com","http://www.elektrotechnik-weber.com/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 89 885495","+49 89 885495","","","1","2026-04-22T09:32:48.87095+00:00"
"72692bda-65fb-4c31-87db-f3ad1180336f","Rossmanith Elektroinstallation GmbH","Rossmanith Elektroinstallation GmbH","elektro-rossmanith.de","http://www.elektro-rossmanith.de/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 89 180069520","+49 89 180069520 | 089551809170 | 0895518090","","","3","2026-04-22T09:32:47.82892+00:00"
"aaa5b69f-fd61-43f7-a9db-a58c699bedb0","Hans Nothaft Elektroinstallation e.K.","Hans Nothaft Elektroinstallation e.K.","nothaft-elektro.de","https://www.nothaft-elektro.de/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 89 8114312","+49 89 8114312 | +498981099578","","","2","2026-04-22T09:32:45.564079+00:00"
"0aea9f78-bf6d-482f-9986-203f5910cef2","Elektro Müller Fernando Müller","Elektro Müller Fernando Müller","elektromeister-mueller.com","http://www.elektromeister-mueller.com/","","","Elektriker","enrich","3","yes","no","no","yes","findEmail","+49 1520 1723652","+49 1520 1723652","","","1","2026-04-22T09:32:41.036778+00:00"
"90f35c4a-3b59-45b3-af41-42c070310f83","Elektro - Listl Meisterbetrieb","Elektro - Listl Meisterbetrieb","elektro-listl.de","http://www.elektro-listl.de/","München","DE","Elektriker","enrich","5","yes","no","no","yes","findEmail","+49 172 8905786","+49 172 8905786 | 01728905786 | 089870758","","","3","2026-04-22T09:32:36.467275+00:00"
